1|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345|1|-42|2|-42|2|-42|1|-42|2|81
2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345|1|-42|2|-42|2|-42|1|-42
1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345|1|-42|2|-42|2|-42
1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345|1|-42|2|-42
2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345|1|-42
1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42|2|345
1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81|2|-42
2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345|2|81
2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42|2|-345
2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25|2|-42
2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120|1|-25
1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357|1|-120
2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238|1|-357
1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100|1|-238
2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25|1|-100
1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50|2|-25
1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75|2|-50
1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195|1|-75
2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100|1|195
1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195|2|-100
1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|1|195
2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100
1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195
2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100
2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100
2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200
2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56|1|780
1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25|2|-56
2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85|1|-25
1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39|2|-85
2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120|1|39
1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234|1|120
1|120|1|39|2|-85|1|-25|2|-56|1|780|2|-200|2|-100|2|-100|2|195|1|-100|2|-50|1|-100|1|-50|2|-39|1|234
